iter,f2,total_cost
0,14809.3,1191.28
1,14017.2,1190.49
2,13323.2,1279.51
3,12595.6,1192.14
4,11906,1287.09
5,11287,1377.66
6,10664.4,1379.08
7,10206.5,1423.88
8,9660.82,1584.44
9,9460.87,1682.07
10,9159.46,1588.9
11,8849.47,1580.5
12,8041.35,1670.05
13,7378.15,1658.69
14,6832.67,1564.07
15,6499.89,1583.4
16,6256.13,1602.28
17,6094.44,1681.08
18,5624.13,1588.57
19,5535.07,1507.7
20,5492.49,1593.66
21,5489.81,1597.78
22,5425.92,1503.66
23,5423.2,1507.78
24,5423.2,1507.78
25,5423.2,1507.78
26,5423.2,1507.78
27,5423.2,1507.78
28,5423.2,1507.78
29,5423.2,1507.78
30,5423.2,1507.78
31,5423.2,1507.78
32,5423.2,1507.78
33,5423.2,1507.78
34,5423.2,1507.78
35,5423.2,1507.78
36,5423.2,1507.78
37,5423.2,1507.78
38,5423.2,1507.78
39,5423.2,1507.78
40,5423.2,1507.78
41,5423.2,1507.78
42,5423.2,1507.78
43,5423.2,1507.78
44,5423.2,1507.78
45,5423.2,1507.78
46,5423.2,1507.78
47,5423.2,1507.78
48,5423.2,1507.78
49,5423.2,1507.78
50,5423.2,1507.78
51,5423.2,1507.78
52,5423.2,1507.78
53,5423.2,1507.78
54,5423.2,1507.78
55,5423.2,1507.78
56,5423.2,1507.78
57,5423.2,1507.78
58,5423.2,1507.78
59,5423.2,1507.78
60,5423.2,1507.78
61,5423.2,1507.78
62,5423.2,1507.78
63,5423.2,1507.78
64,5423.2,1507.78
65,5423.2,1507.78
66,5423.2,1507.78
67,5423.2,1507.78
68,5423.2,1507.78
69,5423.2,1507.78
70,5423.2,1507.78
71,5423.2,1507.78
72,5423.2,1507.78
73,5423.2,1507.78
74,5423.2,1507.78
75,5423.2,1507.78
76,5423.2,1507.78
77,5423.2,1507.78
78,5423.2,1507.78
79,5423.2,1507.78
80,5423.2,1507.78
81,5423.2,1507.78
82,5423.2,1507.78
83,5423.2,1507.78
84,5423.2,1507.78
85,5423.2,1507.78
86,5423.2,1507.78
87,5423.2,1507.78
88,5423.2,1507.78
89,5423.2,1507.78
90,5423.2,1507.78
91,5423.2,1507.78
92,5423.2,1507.78
93,5423.2,1507.78
94,5423.2,1507.78
95,5423.2,1507.78
96,5423.2,1507.78
97,5423.2,1507.78
98,5423.2,1507.78
99,5423.2,1507.78
100,5423.2,1507.78
101,5423.2,1507.78
102,5423.2,1507.78
103,5423.2,1507.78
104,5423.2,1507.78
105,5423.2,1507.78
106,5423.2,1507.78
107,5423.2,1507.78
108,5423.2,1507.78
109,5423.2,1507.78
110,5423.2,1507.78
111,5423.2,1507.78
112,5423.2,1507.78
113,5423.2,1507.78
114,5423.2,1507.78
115,5423.2,1507.78
116,5423.2,1507.78
117,5423.2,1507.78
118,5423.2,1507.78
119,5423.2,1507.78
120,5423.2,1507.78
121,5423.2,1507.78
122,5423.2,1507.78
123,5423.2,1507.78
124,5423.2,1507.78
125,5423.2,1507.78
126,5423.2,1507.78
127,5423.2,1507.78
128,5423.2,1507.78
129,5423.2,1507.78
130,5423.2,1507.78
131,5423.2,1507.78
132,5423.2,1507.78
133,5423.2,1507.78
134,5423.2,1507.78
135,5423.2,1507.78
136,5423.2,1507.78
137,5423.2,1507.78
138,5423.2,1507.78
139,5423.2,1507.78
140,5423.2,1507.78
141,5423.2,1507.78
142,5423.2,1507.78
143,5423.2,1507.78
144,5423.2,1507.78
145,5423.2,1507.78
146,5423.2,1507.78
147,5423.2,1507.78
148,5423.2,1507.78
149,5423.2,1507.78
150,5423.2,1507.78
151,5423.2,1507.78
152,5423.2,1507.78
153,5423.2,1507.78
154,5423.2,1507.78
155,5423.2,1507.78
156,5423.2,1507.78
157,5423.2,1507.78
158,5423.2,1507.78
159,5423.2,1507.78
160,5423.2,1507.78
161,5423.2,1507.78
162,5423.2,1507.78
163,5423.2,1507.78
